sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
15834832000180,RUA JOSE BRANDAO,119,02985050,JARDIM PIRITUBA,SAO PAULO,SP,"-23,4408695","-46,7196773"
14730460000180,RUA NESTOR BRANDAO,71,15045565,RESIDENCIAL ANA CELIA,SAO JOSE DO RIO PRETO,SP,"-20,7782663","-49,396457"
10348127000230,RUA TIRADENTES,1,78065075,PICO DO AMOR,CUIABA,MT,"-15,6092389","-56,0820715"
875365000240,AVENIDA ANTONIO CARLOS MAGALHAES,846,41825900,ITAIGARA,SALVADOR,BA,"-12,9961453","-38,4653819"
7784573000100,AVENIDA INTERVENTOR MANOEL RIBAS,145,86730000,CENTRO,ASTORGA,PR,"-23,2400211","-51,6639768"
62413802000180,RUA GONCALVES DOS SANTOS,46,05861310,JARDIM MARACA,SAO PAULO,SP,"-23,6712895","-46,7681853"
15527447000190,AVENIDA HILDEBRANDO DE VASCONCELOS,140,52140000,BEBERIBE,RECIFE,PE,"-8,0038012","-34,9005988"
445343000160,RUA GUILHERME KOCK,507,89218220,SANTO ANTONIO,JOINVILLE,SC,"-26,2748828","-48,8614092"
360305034270,RUA JOSE WEISSOHN,124,13320200,CENTRO,SALTO,SP,"-23,207483","-47,2952243"
3057910000280,RUA ESTADOS UNIDOS,1221,82510050,BACACHERI,CURITIBA,PR,"-25,4023009","-49,244914"
13364613000150,RUA PINHEIRO MACHADO,134,99600000,CENTRO,NONOAI,RS,"-27,3658333","-52,7709007"
1354083000180,RUA DO COMERCIO,SN,76550000,POV DE BONOPOLIS,PORANGATU,GO,"-13,432916","-49,1424016"
4633743000150,RUA MOACYR LAZZAROTTO DE OLIVEIRA,475,84063080,PARQUE DO CAFE,PONTA GROSSA,PR,"-25,0994246","-50,1583223"
10890082000140,RUA QUINTINO BOCAIUVA,639A,18200014,CENTRO,ITAPETININGA,SP,"-23,5917058","-48,0509217"
16017834000140,TRAVESSA DUQUE DE CAXIAS II,1166,62800000,VARZEA DA MATRIZ,ARACATI,CE,"-4,5612094","-37,7688612"
16045978000100,RUA MANOEL AUGUSTO PEREIRA,15,59528000,CENTRO,BODO,RN,"-5,9827031","-36,4093226"
16040280000100,AVENIDA DOCA BELO,51A,63630000,CENTRO,PEDRA BRANCA,CE,"-5,455564","-39,7157705"
9369266000180,AVENIDA BRASIL,1740,79472970,CENTRO,RIO NEGRO,MS,"-19,4485793","-54,9893621"
12132396000100,RUA CURITIBA,638,39402258,SANTO ANTONIO,MONTES CLAROS,MG,"-16,7423725","-43,841993"
7545610000110,RUA 6,,29168095,CIVIT II,SERRA,ES,"-20,1286963","-40,3082669"
15537782000170,RUA ELYDIO PINHEIRO,371,79075117,PARQUE DO SOL,CAMPO GRANDE,MS,"-20,5583554","-54,6501401"
13824213000180,RUA DOUTOR PEDRO PINTO,234A,30775490,ALTO CAICARAS,BELO HORIZONTE,MG,"-19,902074","-43,9714596"
66315557000120,RUA PADRE MAURO FARIA,33,35970000,SAGRADA FAMILIA,BARAO DE COCAIS,MG,"-19,9469027","-43,4752128"
14454023000180,RUA SAO FRANCISCO DO PIAUI,475,08215400,ITAQUERA,SAO PAULO,SP,"-23,5393609","-46,4466199"
17165036007300,RUA MARECHAL DEODORO,126,80010917,,CURITIBA,PR,"-25,4322541","-49,2708772"
16385025000190,RUA CORONEL MAGNO,675,47800154,CENTRO,BARREIRAS,BA,"-12,1508723","-44,9961178"
7282797000700,AVENIDA CHAMPAPNAT,647,29100011,CENTRO,VILA VELHA,ES,"-20,336161","-40,2895679"
16417300000100,SITIO LAGOA GRANDE,SN,62795000,ZONA RURAL,BARREIRA,CE,"-4,3183242","-38,6110264"
15547762000180,AVENIDA PAULISTA,1009,01310000,BELA VISTA,SAO PAULO,SP,"-23,5654197","-46,6523329"
12536590000150,RUA SILVIANOPOLIS,592,37006350,JARDIM ANDERE,VARGINHA,MG,"-21,567609","-45,4321478"
5024731000190,RUA WASHINGTON LUIZ,335,83206332,PORTO DOS PADRES,PARANAGUA,PR,"-25,5244737","-48,5346944"
8094020000180,RUA JOSE GETULIO,579,01509001,ACLIMACAO,SAO PAULO,SP,"-23,5701231","-46,6330571"
13121171000110,AVENIDA CONSTANTINO JOSE DOS SANTOS,150,46140000,TAQUARI,LIVRAMENTO DE NOSSA SENHORA,BA,"-13,6579077","-41,8496115"
12690721000150,AVENIDA A,64,78058513,TRES BARRAS,CUIABA,MT,"-15,653549","-55,9818022"
15193094000130,RUA CATATEUS,15,03716050,JARDIM PIRATININGA,SAO PAULO,SP,"-23,5036606","-46,5350786"
13216547000170,RUA DOUTOR CRISTIANO REZENDE,2109,30622020,BONSUCESSO,BELO HORIZONTE,MG,"-19,9889781","-43,9918981"
14505463000110,AVENIDA MARECHAL RONDON,2649,20950072,SAMPAIO,RIO DE JANEIRO,RJ,"-22,9044744","-43,2641233"
16481125000110,TRAVESSA ESPERANCA,89,40435770,MASSARANDUBA,SALVADOR,BA,"-12,8971212","-38,4894274"
1019805000140,,,,,,,"-23,9636619","-46,332047"
14538753000160,AVENIDA DIONISIO BENTES,SN,68682000,QUATRO BOCAS,TOME ACU,PA,"-2,4202072","-48,2464256"
15200484000190,RUA TOMIO TAKAHASHI,80,86300000,JARDIM SANTA RITA,CORNELIO PROCOPIO,PR,"-23,1812912","-50,6479834"
572069000190,AVENIDA SAO JOAO,SN,74916200,JARDIM NOVA ERA,APARECIDA DE GOIANIA,GO,"-16,7577386","-49,2527375"
41440215000100,RUA JOSE MARROCOS,509,63101005,PINTO MADEIRA,CRATO,CE,"-7,2366757","-39,4096346"
16512982000130,RUA RITA CATARINA DE JESUS,56,37200000,CASCALHO,LAVRAS,MG,"-21,2543522","-44,9908314"
4070897000180,RUA LAGUNA,571,92990000,CENTRO,ELDORADO DO SUL,RS,"-29,995446","-51,3117702"
16516281000170,RUA BURITI,471,69940000,NITEROI 2O DISTRITO,SENA MADUREIRA,AC,"-9,0689075","-68,6593826"
47003009000110,ESTRADA DE JACUTINGA,SN,13540000,JACUTINGA,CORUMBATAI,SP,"-22,2204308","-47,6255308"
12566769000150,AVENIDA JOSE NEVES TEIXEIRA,790A,46430000,PARAISO,GUANAMBI,BA,"-14,2150783","-42,7629276"
44558849000150,RUA ROQUE FRANCISCO DA CUNHA,19,16370000,CENTRO,PROMISSAO,SP,"-21,5376562","-49,8543816"
16526802000170,RUA FRANCO ALFANO,223,05710030,JARDIM VAZANI,SAO PAULO,SP,"-23,6092507","-46,7457447"
52848629000190,RUA BARAO DE ITAPETININGA,221,01042001,CENTRO,SAO PAULO,SP,"-23,5444899","-46,641221"
11468919000120,AVENIDA COPACABANA,746,11925970,CENTRO,ILHA COMPRIDA,SP,"-24,7346295","-47,5563284"
3189524000160,TRECHO UGO TOGNAZZI,6,01524090,CAMBUCI,SAO PAULO,SP,"-23,5505199","-46,6333094"
12231859000190,RUA GUARAPA,12A,08235570,PARQUE GUARANI,SAO PAULO,SP,"-23,5216103","-46,4631629"
2074745000120,RUA DOUTOR RODRIGUES DE AZEVEDO,252,12600005,CENTRO,LORENA,SP,"-22,7329794","-45,1209376"
52057718010180,RUA RUI BARBOSA,666,14870300,CENTRO,JABOTICABAL,SP,"-21,2564737","-48,3186958"
12548423000120,AVENIDA JETURLIO VAGAS,125,45810000,CENTRO,PORTO SEGURO,BA,"-16,4484535","-39,0624658"
27497742000120,RUA FIORAVANTE ROSSI,237,29703041,LACE,COLATINA,ES,"-19,5292987","-40,6348192"
4667870000170,RUA SANTA FILOMENA,1087,60521104,HENRIQUE JORGE,FORTALEZA,CE,"-3,7642813","-38,5926681"
1802220000100,AVENIDA LUIZ AUGUSTO DE ARRUDA,380,16880000,CENTRO,VALPARAISO,SP,"-21,2294354","-50,8593077"
3414654000150,PRACA DOS ARTISTAS,55A,45790000,ITAIMBE,POTIRAGUA,BA,"-15,5945627","-39,8734102"
7484521000100,SOTER DE ARAUJO,142,08470460,CIDADE TIRADENTES,SAO PAULO,SP,"-23,5973357","-46,3994853"
13040529000180,RUA RIO GRANDE,56,84270040,SAO JOAO,TELEMACO BORBA,PR,"-24,3167366","-50,6456387"
9009270000480,RUA BERNARDO HORTA,226,29300792,GUANDU,CACHOEIRO DE ITAPEMIRIM,ES,"-20,8471315","-41,1203478"
15689511000130,RUA RODOLFO ARENA,40,04164190,VILA MORAES,SAO PAULO,SP,"-23,6284131","-46,6082985"
15690211000170,RUA PASTOR RODRIGUES SANTANA,16,48470000,CIDADE NOVA,OLINDINA,BA,"-11,3618504","-38,3292234"
382950000390,RUA BARAO DE ALAGOAS,280B,08120000,ITAIM PAULISTA,SAO PAULO,SP,"-23,4979793","-46,3977176"
3379022000100,QUARTA TRAVESSA PERNAMBUCO,18,65606050,TESO DURO,CAXIAS,MA,"-4,8746666","-43,3469352"
496157000400,RUA JORNAL DA PARAIBA,102B,58302515,CONJUNTO MARCOS MOURA,SANTA RITA,PB,"-7,163553","-34,9772322"
6942389000170,AVENIDA GOIAS,2677,77410010,CENTRO,GURUPI,TO,"-11,7331211","-49,0727029"
5974511004620,AVENIDA GENERAL FLORES DA CUNHA,4000,94950001,VILA BOM PRINCIPIO,CACHOEIRINHA,RS,"-29,9364648","-51,080672"
8350655000100,SITIO SANTO ANTONIO,SN,16340000,VOLTA GRANDE,LUIZIANIA,SP,"-21,6709647","-50,3688312"
1537746000100,RODOVIA BR 135,SN,65000000,MARACANA,SAO LUIS,MA,"-2,5928193","-44,2449184"
1511691000150,AVENIDA WASHINGTON SOARES,2155,60810300,GUARARAPES,FORTALEZA,CE,"-3,7776393","-38,4811404"
721537000140,LOCALIDADE CAPELA DO SACO,SN,37245000,ZONA RURAL,CARRANCAS,MG,"-21,4871099","-44,6423753"
1265415000150,RUA AFONSO CELSO,1347,84020000,UVARANAS,PONTA GROSSA,PR,"-25,0821211","-50,1420339"
64530652000110,AVENIDA DOUTOR FERNANDO COSTA,736,15061000,VILA MACENO,SAO JOSE DO RIO PRETO,SP,"-20,8047289","-49,3669436"
80710999000100,RUA BLUMENAU,3040,89204251,AMERICA,JOINVILLE,SC,"-26,2743272","-48,8509104"
13792072000160,RUA WWADOMIRO SANTOS,71,45570000,CENTRO,IPIAU,BA,"-14,1406512","-39,7335813"
6883306000110,RUA ALMIRANTE TAMANDARE,51,57120000,CENTRO,SATUBA,AL,"-9,5723058","-35,8241769"
6811967000130,MARGENS BR,282,89638000,,VARGEM,SC,"-27,4858566","-50,9497647"
9596925000200,RUA JORGE DE A NEIVA,2,55280000,CENTRO,PEDRA,PE,"-8,4972597","-36,9412177"
15454075000110,RUA BOA VISTA,99,08717140,CENTRO,MOGI DAS CRUZES,SP,"-23,5259459","-46,1925437"
66838475000160,RUA SETE DE SETEMBRO,471,13630000,CENTRO,PIRASSUNUNGA,SP,"-22,0007559","-47,4268225"
9473359000150,AVENIDA DAS HORTENSIAS,5037,95670000,CARNIEL,GRAMADO,RS,"-29,3612674","-50,851789"
8173001000140,AVENIDA SENADOR PINHEIRO MACHADO,871,11075003,JOSE MENINO,SANTOS,SP,"-23,9635309","-46,3451393"
8567250000110,SITIO SANTO ANTONIO,SN,18650000,ZONA RURAL,SAO MANUEL,SP,"-22,7324847","-48,5724499"
9456679000100,RUA PEDRO TATIMOTO,112,12235060,JARDIM AMERICA,SAO JOSE DOS CAMPOS,SP,"-23,2313172","-45,8955022"
10980741000130,SITIO FRANCISCOS,1,18310000,DOS FRANCISCOS,GUAPIARA,SP,"-24,1896991","-48,5300136"
10919431000100,AVENIDA WILSON ALVARENGA DE OLIVEIRA,470,35970000,VIUVA,BARAO DE COCAIS,MG,"-19,9409462","-43,4812978"
46107264000220,RUA ELDER RODRIGUES JUNIOR,300,13067704,CHACARA TRES MARIAS,CAMPINAS,SP,"-22,8679719","-47,1380982"
12980039000100,RUA RAIMUNDO DA CRUZ LIMA,216,79740000,GUIRAI,IVINHEMA,MS,"-22,3112281","-53,8204122"
4653611000190,AVENIDA DEDE BRASIL,3912,60000000,SERRINHA,FORTALEZA,CE,"-3,7945957","-38,5333329"
1380468000200,SETOR MARG DIREIT RIO JURUENA,SN,78580000,ZONA RURAL,ALTA FLORESTA,MT,"-9,8671497","-56,0871877"
63310213000130,AVENIDA SARGENTO HERMINIO SAMPAIO,1405,60320105,SAO GERARDO,FORTALEZA,CE,"-3,7250138","-38,5529718"
53737672000140,AVENIDA ADHEMAR PEREIRA BARROS,509,12315310,CHAC RURAIS S MARIA,JACAREI,SP,"-23,2835371","-45,965738"
5830988000210,ESTRADA LOCALIDADE DE PONTA NOVA,SN,83840000,ZONA RURAL,QUITANDINHA,PR,"-25,8739307","-49,497806"
69367241000170,RUA CANAA,1119,60874210,ANCURI,FORTALEZA,CE,"-3,8658251","-38,5032527"
7752564000120,RUA PROJETADA,SN,55700000,LAGOA AZUL,LIMOEIRO,PE,"-7,8723168","-35,4398434"
8073589000160,RUA A BAIRRO FERNANDO NEVES,124,45585000,VILA DO JAPUMIRIM,ITAGIBA,BA,"-14,2823822","-39,8462283"
12917351000140,RUA TURVO,78,89221585,SAGUACU,JOINVILLE,SC,"-26,2735128","-48,832645"
4040115000160,RUA JOSE FIRMINO FERREIRA,665B,58053022,BANCARIOS,JOAO PESSOA,PB,"-7,1538655","-34,8520632"
10066637000720,AVENIDA BARAO DE BONITO,588,50740080,VARZEA,RECIFE,PE,"-8,0395506","-34,9519206"
43960335008220,RODOVIA ARARAQUARA JAU,,14930000,ZONA RURAL,BOA ESPERANCA DO SUL,SP,"-21,997607","-48,3902551"
23109903000100,AVENIDA SANTOS DUMONT,785,38755000,CENTRO,LAGOA GRANDE,MG,"-17,8433292","-46,5175779"
15320529000160,RUA RAFAEL RUI,61,14750000,JARDIM GUMERCINDO H SOARES,PITANGUEIRAS,SP,"-21,0106742","-48,2176007"
15329244000190,RUA VIENA,32,21215350,BRAZ DE PINA,RIO DE JANEIRO,RJ,"-22,831842","-43,3016854"
15484907000140,RUA MARECHAL FLORIANO PEIXOTO,432,18170000,CENTRO,PIEDADE,SP,"-23,7076806","-47,420687"
8668917000170,RUA ANESIO ALVES DE MIRANDA,345,58300970,VARZEA NOVA,SANTA RITA,PB,"-7,135868","-34,9662353"
15484791000140,AVENIDA XINGU,394,68555011,CENTRO,XINGUARA,PA,"-7,1060028","-49,9416546"
80470164000200,RUA DESEMBARGADOR WESTPHALEN,2907,80220031,VILA PAROLIN,CURITIBA,PR,"-25,4569964","-49,2612152"
2680067000140,ESTRADA DO M BOI MIRIM,2298,04905022,VILA REMO,SAO PAULO,SP,"-23,6756515","-46,7534697"
83276170000120,AVENIDA ALCINDO CACELA,350,66060000,UMARIZAL,BELEM,PA,"-1,4394498","-48,4787707"
11308890000110,RUA PROJETADA,SN,58000000,GRAMAME,JOAO PESSOA,PB,"-7,1810174","-34,9412015"
12052659000170,ESTRADA REAL DE MARICA,SN,24931970,SAO JOSE DO IMBASSAI,MARICA,RJ,"-22,9377666","-42,881265"
12182647000160,RUA JOSE LUIS NETO,265,60334005,BARRA DO CEARA,FORTALEZA,CE,"-3,7055007","-38,5719546"
71163182000160,RUA CORONEL ODILON RESENDE DE ANDRADE,875B,32235320,INDUSTRIAL 3 SECAO,CONTAGEM,MG,"-19,9731403","-44,0358882"
12924656000180,RUA PASQUAL VALVA,389,04421070,JARDIM LUSO,SAO PAULO,SP,"-23,6899788","-46,6400599"
9111019000180,RUA ANTONIO R ALMEIDA,100,37036660,JARDIM CORCETTI I,VARGINHA,MG,"-21,5297123","-45,4495369"
12063489000120,RUA RIBEIRAO,SN,44990000,CANARINA,BARRA DO MENDES,BA,"-11,8104072","-42,0592129"
9159679000130,RUA NELSON GAMA DE OLIVEIRA,550,05734150,VILA ANDRADE,SAO PAULO,SP,"-23,629971","-46,7384251"
90260985001230,RODOVIA RS 115,,95670000,VARZEA GRANDE,GRAMADO,RS,"-29,4003325","-50,8706864"
5854221000140,RUA ARNALDO DE MATOS,51,78020005,CENTRO SUL,CUIABA,MT,"-15,5983557","-56,1025703"
12270686000110,QI 18,,72135180,SETOR INDUSTRIAL,BRASILIA,DF,"-15,8253369","-47,9888349"
9375033000190,RUA DESEMBARGADOR DIONISIO FILGUEIRA,97,59610090,CENTRO,MOSSORO,RN,"-5,1906695","-37,3425491"
8550792000180,CHACARA BELA VISTA,SN,15760000,CORREGO COMPRIDO,URANIA,SP,"-20,2379675","-50,6423049"
5702303000170,AVENIDA DESEMBARGADOR T CALDAS,22,65930000,CENTRO,ACAILANDIA,MA,"-4,9531152","-47,5030981"
76025279000120,RUA SETE DE SETEMBRO,56,83309220,PINHAIS,PIRAQUARA,PR,"-25,4505331","-49,0691052"
